Q1,Q2,Q3,Q4,Q5,Q6,Q46,Q47,Q48,Q49,Q50,Q112,Q164,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Gender,Age,Marital,Employment,Class,Ethnic,Urban_Rural
1,1,2,3,1,1,2,1,9,8,8,6,6,2,4,2,4,2,2,2,2,2,2,2,50,1,5,3,458004,2
1,1,1,1,1,1,1,2,8,8,7,7,6,1,1,1,4,4,1,1,4,4,4,1,34,1,1,2,458004,2
1,1,1,3,2,1,1,2,8,6,5,5,5,1,2,1,4,1,1,1,2,2,2,2,39,1,5,2,458004,2
1,2,3,2,1,1,2,2,3,5,1,10,8,1,1,1,1,4,4,1,1,4,1,1,32,1,1,4,458004,2
1,2,3,3,1,1,2,2,8,7,8,5,10,1,3,2,3,3,2,3,4,2,2,2,52,1,5,3,458004,2
1,2,2,3,1,1,2,2,8,8,8,9,8,2,3,2,3,3,2,2,2,2,3,1,34,1,1,3,458004,2
1,1,2,3,1,1,1,2,8,8,6,9,7,3,2,2,4,3,3,3,4,3,2,1,25,1,1,3,458004,2
1,2,2,3,1,1,2,1,7,9,5,8,8,2,3,2,1,2,2,3,3,3,2,1,37,1,1,2,458004,2
1,1,3,3,2,1,2,3,8,8,6,6,7,2,3,3,2,3,3,2,2,3,3,1,50,1,5,3,458004,2
1,1,1,2,1,1,2,1,8,9,8,9,7,2,3,3,3,4,3,2,3,3,2,2,24,6,6,2,458012,2
1,2,2,3,1,1,1,2,8,6,8,8,8,3,2,3,2,4,1,1,2,3,3,2,23,6,6,3,458014,2
1,3,3,3,2,1,1,2,8,8,7,8,9,2,1,1,2,3,3,1,2,2,2,2,52,1,5,2,458012,2
1,1,1,1,1,1,1,2,6,7,6,4,7,1,2,2,4,4,4,4,4,4,4,2,54,1,5,3,458004,2
1,1,1,1,1,1,1,2,6,6,6,5,6,4,4,4,4,4,4,4,4,4,4,2,65,4,1,3,458004,2
1,1,1,1,1,1,1,2,6,6,6,7,5,1,4,4,4,4,4,4,4,4,4,1,60,1,4,3,458004,2
1,1,1,1,1,1,2,2,7,7,7,6,7,2,2,4,4,4,4,4,4,4,4,2,33,1,5,3,458004,2
1,1,1,2,2,1,2,2,9,8,8,5,8,2,2,2,2,2,2,2,2,2,2,2,18,6,6,3,458004,2
1,1,1,1,1,1,1,2,7,8,6,7,9,3,3,3,4,4,4,4,4,4,4,1,23,1,1,3,458004,2
1,1,1,1,1,1,2,3,8,7,9,9,7,2,3,3,3,3,3,2,3,3,2,1,52,1,1,2,458012,2
1,1,1,1,1,1,1,2,8,9,7,8,8,1,2,4,4,4,4,4,4,4,4,1,30,1,1,3,458004,2
1,1,1,1,1,1,2,2,8,6,8,8,5,2,2,1,2,2,2,2,2,2,2,2,42,1,5,4,458004,2
1,2,2,2,1,1,2,3,4,6,7,10,9,2,2,2,2,1,2,2,2,2,2,1,36,1,1,4,458004,2
1,2,1,3,1,1,2,1,8,7,7,5,8,2,2,3,3,3,3,3,3,2,3,2,32,1,5,3,458012,2
1,2,1,2,1,1,2,1,7,6,9,8,8,2,2,1,1,1,2,1,1,2,2,1,37,1,1,2,458004,2
1,2,1,1,1,1,2,3,4,6,5,10,8,1,1,2,2,2,1,2,2,2,2,2,37,1,1,3,458012,2
1,2,1,2,1,1,2,2,6,6,6,10,9,2,2,1,2,1,1,1,2,1,2,2,33,1,5,3,458012,2
1,1,2,2,1,1,2,2,6,7,7,10,7,2,1,2,2,3,2,2,1,2,2,1,58,1,1,5,458004,2
1,2,2,3,1,1,2,2,6,7,6,7,8,2,4,2,3,2,2,3,4,2,2,1,50,1,1,3,458014,2
2,3,2,2,2,2,3,3,5,5,4,5,9,2,2,2,3,2,2,4,4,2,2,2,50,5,3,3,458012,2
1,2,2,3,1,1,2,1,9,8,8,5,10,2,4,2,3,2,2,3,3,1,3,1,23,6,1,2,458004,2
1,1,1,2,1,1,2,2,8,8,7,8,10,2,1,1,2,2,1,3,4,3,3,1,21,6,1,3,458004,2
1,3,3,3,1,1,2,2,7,8,7,5,9,2,3,2,2,2,3,3,3,2,2,1,50,1,3,4,458012,2
1,2,2,3,2,1,2,4,3,5,4,8,10,2,2,1,3,1,2,4,3,2,1,2,63,1,5,3,458004,2
